file,battery,battery_central,curtailment,pv,sell_grid_power,solar_power,supply_grid_power,unmet_demand,Cluster
run_wm0p13333_wc0p46667_wt0p4.nc,398.84894498464746,0.0033437476055610386,774.7988453080097,1031.3034061316675,6.297512983591212e-05,1199.9976114161673,191.71541244659704,0.0,1
run_wm0p13333_wc0p03333_wt0p83333.nc,395.2389778145858,0.011677083504631437,768.659909013756,1002.0231948853465,0.011745013705511953,1199.9963597238211,399.9950683224952,0.0,2
run_wm0p23333_wc0p16667_wt0p6.nc,360.65613905605414,0.007021749803257906,775.4059343514293,927.0021011580393,0.0061694737660184466,1199.993653681657,399.9882896724145,0.0,2
run_wm0p16667_wc0p46667_wt0p36667.nc,377.68294878256063,0.009932066688016486,772.8510337022466,984.338828659039,0.00023679281722265147,1199.9903273052794,191.71002758210136,0.0,1
run_wm0p2_wc0p03333_wt0p76667.nc,364.568513750959,0.018377531754332398,770.1161100551866,981.1608150770514,0.018806305176577203,1199.988356837042,399.98779223600826,0.0,2
run_wm0p2_wc0p46667_wt0p33333.nc,370.6196495300883,0.006070040877183143,777.7976780447865,958.5309809584292,0.00019618655952785533,1199.9925436481863,191.703011315182,0.0,1
run_wm0p7_wc0p2_wt0p1.nc,206.9781642016839,0.008442325675594716,862.9036371332096,1416.8271214977617,361.0067650807384,1199.9799985051482,399.97963404975144,0.0,0
run_wm0p56667_wc0p26667_wt0p16667.nc,242.65973677635836,0.01198815845482274,824.8531201959046,1257.0528153521536,360.99391730057596,1199.9643459657643,361.58117949125096,0.0,0
run_wm0p46667_wc0p43333_wt0p1.nc,281.64407881777663,0.013774831859614332,795.243811469175,1261.8753397454384,361.01190324416467,1199.9905442656784,400.0071535491692,0.0,0
run_wm0p13333_wc0p16667_wt0p7.nc,395.795932484495,0.005628211455382534,764.7406904520615,986.6753195498561,0.0011947800957964343,1199.9976153619837,399.9979784351517,0.0,2
run_wm0p7_wc0p23333_wt0p06667.nc,204.86859983244608,0.005974383599785082,862.916412444607,1412.727756503086,361.00538767316266,1199.9958111465244,399.47979195054495,0.0,0
run_wm0p33333_wc0p63333_wt0p03333.nc,285.8290530644375,79.83218042388319,713.6008521537578,1571.8945286088856,440.83031911392146,1199.995960288745,191.69036585122424,0.0,0
run_wm0p63333_wc0p1_wt0p26667.nc,224.23210732362412,0.0020368885484183716,825.1534211388946,646.1558062048977,0.0021059561059107988,1199.9937277734875,346.8664756835344,0.0,2
run_wm0p73333_wc0p03333_wt0p23333.nc,191.5348625252914,0.01915978227616857,862.8438247726817,691.112874799253,234.33194851899373,1199.9100483510774,384.5620788853478,0.0,2
run_wm0p03333_wc0p06667_wt0p9.nc,660.1591844036288,0.04816145218820356,718.6131103916812,1385.7713432671223,0.0018549347227407031,1199.9933644306823,399.99279297604903,0.0,2
run_wm0p03333_wc0p63333_wt0p33333.nc,660.1753065298029,0.007825555515053484,730.4547617071328,1386.0624407132182,0.00021927850228778715,1199.997776814104,191.83768182065288,0.0,1
run_wm0p53333_wc0p36667_wt0p1.nc,260.6880874858358,0.013039857766864109,824.4367260862934,1455.2575742817746,361.01073153719034,1199.9867829408104,381.57309049239694,0.0,0
